Speed,SteerAngle,YawRate,TurnRadius,GearPos
14.751180,1.375000,-0.476550,-1735.614014,3
14.751180,1.250000,-0.598739,-1590.411743,3
14.766806,1.187500,-0.476550,-1516.188843,3
14.782433,1.062500,-0.476550,-1610.867554,3
14.782433,1.000000,-0.354361,-1849.453613,3
14.766806,0.875000,-0.476550,-1818.336182,3
14.798059,0.750000,-0.354361,-2007.588501,3
14.798059,0.750000,-0.232172,-2446.989258,3
14.782433,0.687500,-0.232172,-2818.044189,3
14.798059,0.687500,-0.232172,-3096.011230,3
14.829311,0.687500,-0.232172,-3294.617920,3
14.829311,0.562500,-0.232172,-3434.883057,3
14.844937,0.562500,-0.354361,-3524.438721,3
14.876190,0.375000,-0.354361,-2977.532227,3
14.860563,0.375000,-0.354361,-2717.630615,3
14.938695,0.250000,-0.109983,-3685.767578,3
14.860563,0.187500,-0.232172,-3659.150146,3
14.891816,0.062500,-0.109983,-4647.858887,3
14.860563,0.062500,0.012206,-8060.104004,3
14.907442,0.062500,0.134395,-13666.539063,3
14.954321,0.062500,-0.109983,-13695.190430,3
14.923069,0.062500,-0.109983,-10501.766602,3
14.938695,0.062500,0.012206,-13709.515625,3
14.969948,0.062500,-0.109983,-10529.000977,3
14.954321,0.062500,-0.109983,-9228.691406,3
14.969948,0.062500,-0.109983,-8604.054688,3
14.969948,0.062500,-0.109983,-8263.310547,3
14.985574,0.000000,-0.109983,-8079.608887,3
14.954321,0.000000,0.012206,-13752.492188,3
14.969948,0.000000,0.134395,13723.841797,3
14.969948,-0.125000,0.012206,13781.143555,3
15.032453,-0.125000,0.012206,13781.143555,3
15.032453,-0.250000,0.134395,9425.987305,3
15.032453,-0.250000,0.012206,13781.143555,3
15.063704,-0.250000,0.012206,13809.793945,3
15.079331,-0.250000,0.134395,13809.793945,3
15.048079,-0.250000,0.134395,6144.630371,3
15.079331,-0.250000,0.012206,9721.988281,3
15.063704,-0.250000,0.012206,13838.445313,3
15.110583,-0.250000,0.134395,9470.850586,3
15.110583,-0.250000,0.134395,7964.770508,3
15.079331,-0.250000,0.134395,7259.287598,3
15.110583,-0.250000,0.134395,6915.059570,3
15.126210,-0.250000,0.134395,6723.549316,3
15.094957,-0.250000,0.012206,10547.158203,3
15.110583,-0.250000,0.012206,13867.096680,3
15.126210,-0.250000,0.134395,13881.421875,3
15.126210,-0.250000,0.134395,9478.316406,3
15.126210,-0.250000,0.134395,7978.287109,3
15.157462,-0.250000,0.134395,7292.966309,3
15.157462,-0.250000,0.012206,11411.071289,3
15.173089,-0.250000,0.012206,13910.073242,3
15.157462,-0.250000,0.012206,9493.233398,3
15.188715,-0.250000,0.012206,13924.398438,3
15.188715,-0.250000,0.012206,13924.398438,3
15.219967,-0.250000,0.012206,13924.398438,3
15.173089,-0.250000,0.012206,13910.073242,3
15.188715,-0.250000,0.134395,9508.136719,3
15.219967,-0.250000,0.256584,5498.128418,3
15.188715,-0.250000,0.134395,5858.768555,3
15.204341,-0.250000,0.134395,6105.992676,3
15.219967,-0.250000,0.012206,9689.545898,3
15.219967,-0.250000,0.012206,13953.048828,3
15.251220,-0.250000,0.012206,13981.700195,3
15.251220,-0.250000,0.012206,13981.700195,3
15.251220,-0.250000,-0.109983,-13967.375000,3
15.251220,-0.250000,0.012206,-10691.774414,3
15.266846,-0.250000,0.012206,-13996.025391,3
15.251220,-0.250000,0.012206,-13996.025391,3
15.266846,-0.250000,0.012206,-13996.025391,3
15.266846,-0.312500,0.012206,-13996.025391,3
15.298099,-0.125000,0.012206,-14024.676758,3
15.313725,0.000000,0.012206,-14024.676758,3
15.298099,0.000000,0.012206,-14024.676758,3
15.298099,0.000000,0.012206,-14024.676758,3
15.298099,0.000000,-0.109983,-10718.798828,3
15.329351,0.000000,0.012206,-9419.668945,3
15.344977,0.000000,0.012206,-14067.653320,3
15.313725,0.000000,0.012206,-14039.001953,3
15.329351,0.000000,-0.109983,-10736.800781,3
15.344977,0.000000,-0.109983,-9417.889648,3
15.329351,0.062500,-0.109983,-8778.017578,3
15.407482,0.062500,-0.109983,-8454.521484,3
15.251220,0.062500,-0.109983,-8206.517578,3
15.360603,0.187500,0.012206,-14081.978516,3
15.329351,0.187500,-0.109983,-10718.798828,3
15.313725,0.187500,-0.109983,-9410.956055,3
15.344977,0.250000,-0.109983,-8787.882813,3
15.376230,0.375000,-0.109983,-8446.674805,3
15.360603,0.375000,-0.109983,-8264.805664,3
15.376230,0.500000,-0.232172,-8164.108398,3
15.344977,0.562500,-0.109983,-8084.445801,3
15.329351,1.000000,-0.232172,-8039.330566,3
15.313725,1.062500,-0.232172,-5511.798828,3
15.344977,1.062500,-0.354361,-3684.847656,3
15.360603,1.062500,-0.476550,-3080.123535,3
15.344977,1.062500,-0.354361,-2805.756592,3
15.344977,1.062500,-0.354361,-2662.425049,3
15.360603,1.062500,-0.476550,-2588.143799,3
15.376230,1.062500,-0.476550,-2226.579102,3
15.376230,1.062500,-0.354361,-2323.108887,3
15.360603,1.062500,-0.476550,-2102.349854,3
15.344977,1.062500,-0.354361,-2240.165771,3
15.360603,1.062500,-0.476550,-2062.549805,3
15.360603,1.062500,-0.476550,-1968.916748,3
15.329351,1.062500,-0.354361,-2150.411133,3
15.313725,1.062500,-0.354361,-2613.485840,3
15.313725,1.062500,-0.354361,-2549.834229,3
15.344977,1.062500,-0.354361,-2527.003174,3
15.376230,1.187500,-0.232172,-2927.290039,3
15.360603,1.187500,-0.354361,-3224.451416,3
15.360603,1.187500,-0.354361,-2875.251221,3
15.344977,1.250000,-0.354361,-2699.179199,3
15.360603,1.375000,-0.232172,-3059.837646,3
15.344977,1.562500,-0.354361,-2793.089355,3
15.344977,1.875000,-0.354361,-2657.165771,3
15.376230,2.187500,-0.476550,-2587.772461,3
15.376230,2.375000,-0.476550,-2225.263672,3
15.360603,2.500000,-0.598739,-2054.727051,3
15.391856,2.500000,-0.598739,-1770.579956,3
15.360603,2.500000,-0.598739,-1631.082275,3
15.360603,2.500000,-0.598739,-1562.293579,3
15.391856,2.500000,-0.598739,-1403.860107,3
15.360603,2.500000,-0.598739,-1429.169189,3
15.376230,2.500000,-0.598739,-1446.987549,3
15.407482,2.500000,-0.720928,-1348.618652,3
15.407482,2.500000,-0.598739,-1391.466431,3
15.376230,2.500000,-0.720928,-1318.566528,3
15.391856,2.500000,-0.720928,-1279.991577,3
15.376230,2.375000,-0.720928,-1254.251831,3
15.391856,2.250000,-0.720928,-1239.680420,3
15.376230,2.187500,-0.598739,-1325.568848,3
15.376230,2.062500,-0.720928,-1382.831421,3
15.376230,1.875000,-0.720928,-1311.717896,3
15.391856,1.750000,-0.598739,-1373.878784,3
15.391856,1.687500,-0.476550,-1535.170410,3
15.360603,1.687500,-0.476550,-1646.329102,3
15.391856,1.687500,-0.598739,-1572.721802,3
15.391856,1.687500,-0.476550,-1675.324829,3
15.376230,1.687500,-0.476550,-1740.824097,3
15.391856,1.687500,-0.476550,-1624.651123,3
15.407482,1.562500,-0.476550,-1709.440552,3
15.391856,1.562500,-0.476550,-1763.241821,3
15.376230,1.500000,-0.476550,-1796.011353,3
15.376230,1.375000,-0.476550,-1817.134155,3
15.391856,1.250000,-0.476550,-1831.754639,3
15.407482,1.000000,-0.354361,-2055.035156,3
15.391856,0.750000,-0.354361,-2210.838135,3
15.391856,0.562500,-0.232172,-2668.284912,3
15.407482,0.375000,-0.354361,-2593.085449,3
15.407482,0.187500,-0.232172,-2979.899902,3
15.391856,0.000000,-0.109983,-4003.494629,3
15.360603,-0.125000,-0.232172,-3909.469971,3
15.344977,-0.250000,-0.232172,-3856.384277,3
15.360603,-0.437500,0.012206,-6760.774902,3
15.344977,-0.500000,0.134395,-14067.653320,3
15.360603,-0.625000,0.012206,-14067.653320,3
15.344977,-0.625000,0.134395,14067.653320,3
15.344977,-0.750000,0.134395,9567.602539,3
15.313725,-0.750000,0.256584,5529.123535,3
15.313725,-0.750000,0.378773,3531.276855,3
15.251220,-0.750000,0.256584,3475.152100,3
15.219967,-0.750000,0.256584,4282.664063,3
15.251220,-0.625000,0.134395,4969.746094,3
15.235594,-0.500000,0.134395,5488.110840,3
15.219967,-0.437500,0.134395,5849.333496,3
15.204341,-0.312500,0.134395,6092.126953,3
15.219967,-0.125000,0.134395,6246.556152,3
15.219967,0.187500,0.012206,9900.103516,3
15.204341,0.375000,-0.109983,13938.723633,3
15.188715,0.562500,-0.109983,-13924.398438,3
15.204341,0.687500,-0.232172,-6647.003418,3
15.204341,0.750000,-0.354361,-3928.285889,3
15.157462,0.750000,-0.354361,-3160.251953,3
15.173089,0.750000,-0.232172,-3374.789795,3
15.141836,0.750000,-0.232172,-3507.357910,3
15.141836,0.750000,-0.232172,-3596.325928,3
15.141836,0.875000,-0.354361,-3024.949219,3
15.141836,0.875000,-0.354361,-2762.823730,3
15.126210,0.875000,-0.354361,-2624.279541,3
15.141836,0.875000,-0.354361,-2551.968994,3
15.126210,0.875000,-0.354361,-2506.621338,3
15.141836,0.750000,-0.232172,-2481.777100,3
15.126210,0.750000,-0.232172,-2868.829834,3
15.126210,0.750000,-0.232172,-3163.619141,3
15.079331,0.750000,-0.232172,-3359.593750,3
15.126210,0.750000,-0.354361,-2925.100586,3
15.126210,0.750000,-0.354361,-2711.230225,3
15.126210,0.750000,-0.232172,-2600.346924,3
15.141836,0.750000,-0.354361,-2536.889648,3
15.141836,0.750000,-0.232172,-2910.467773,3
15.141836,0.750000,-0.232172,-3197.263916,3
15.157462,0.750000,-0.354361,-3391.060059,3
15.157462,0.750000,-0.354361,-2939.982910,3
15.126210,0.750000,-0.232172,-3210.549316,3
15.126210,0.750000,-0.232172,-3402.208740,3
15.141836,0.750000,-0.354361,-3528.044922,3
15.126210,0.750000,-0.354361,-2994.653320,3
15.126210,0.750000,-0.232172,-2749.216797,3
15.141836,0.750000,-0.232172,-3076.794922,3
15.126210,0.750000,-0.354361,-2785.776123,3
15.126210,0.750000,-0.354361,-2638.161865,3
15.126210,0.750000,-0.354361,-2562.363525,3
15.141836,0.750000,-0.354361,-2513.648193,3
15.141836,0.750000,-0.354361,-2486.917236,3
15.141836,0.687500,-0.354361,-2471.223877,3
15.126210,0.687500,-0.232172,-2864.959229,3
15.157462,0.687500,-0.232172,-3163.539307,3
15.188715,0.687500,-0.109983,-4171.544922,3
15.141836,0.687500,-0.232172,-3982.466064,3
15.094957,0.562500,-0.354361,-3171.454590,3
15.157462,0.562500,-0.232172,-3387.621094,3
15.141836,0.562500,-0.232172,-3510.413330,3
15.126210,0.500000,-0.232172,-3599.010010,3
15.157462,0.500000,-0.354361,-3030.401123,3
15.157462,0.375000,-0.109983,-4032.124756,3
15.173089,0.375000,-0.109983,-5029.301758,3
15.188715,0.375000,-0.109983,-5901.229980,3
15.157462,0.250000,-0.109983,-6568.922363,3
15.173089,0.250000,-0.109983,-7049.552734,3
15.173089,0.187500,-0.232172,-5198.397461,3
15.173089,0.187500,-0.232172,-4494.371094,3
15.126210,0.187500,-0.354361,-3362.132080,3
15.157462,0.187500,-0.232172,-3505.139648,3
15.141836,0.187500,-0.232172,-3592.662842,3
15.141836,0.062500,-0.109983,-4602.263672,3
15.110583,0.062500,-0.109983,-4209.540039,3
15.110583,0.062500,-0.109983,-5170.769531,3
15.126210,0.062500,-0.109983,-6005.669922,3
15.094957,0.062500,-0.232172,-4815.098633,3
15.063704,0.062500,-0.109983,-5690.416504,3
15.094957,0.062500,-0.109983,-6410.447266,3
15.094957,0.000000,-0.109983,-6909.663086,3
15.048079,0.000000,0.012206,-12329.026367,3
15.063704,0.000000,-0.109983,-10035.669922,3
15.048079,0.000000,-0.232172,-5962.281250,3
15.063704,-0.125000,0.012206,-6580.769043,3
14.969948,-0.125000,0.012206,-11645.763672,3
15.001200,-0.125000,-0.109983,-9746.852539,3
14.985574,-0.125000,-0.109983,-8861.222656,3
14.969948,-0.125000,0.012206,-13723.841797,3
14.954321,-0.125000,0.012206,-13709.515625,3
14.923069,-0.125000,0.134395,-13695.190430,3
14.923069,-0.125000,0.012206,-13680.865234,3
14.907442,-0.125000,0.012206,-13666.539063,3
14.876190,-0.125000,-0.109983,-10474.504883,3
14.876190,-0.125000,-0.109983,-9190.196289,3
14.876190,-0.125000,-0.109983,-8558.003906,3
14.813684,-0.125000,-0.109983,-8209.065430,3
14.844937,-0.125000,0.012206,-13609.237305,3
14.813684,0.000000,0.012206,-13580.585938,3
14.813684,0.000000,0.012206,-13580.585938,3
14.798059,0.000000,-0.109983,-10429.000000,3
14.798059,0.000000,-0.109983,-9150.759766,3
14.798059,0.000000,-0.109983,-8519.986328,3
14.766806,0.062500,-0.109983,-8162.659180,3
14.766806,0.187500,-0.109983,-7962.021973,3
14.766806,0.187500,-0.109983,-7858.423340,3
14.719928,0.687500,-0.232172,-5384.252441,3
14.719928,1.062500,-0.109983,-6096.591797,3
14.719928,1.562500,-0.232172,-4809.938965,3
14.704301,2.062500,-0.354361,-3426.343018,3
14.673049,2.500000,-0.476550,-2918.931641,3
14.657422,2.875000,-0.598739,-2045.606689,3
14.673049,3.062500,-0.720928,-1578.316406,3
14.626170,3.062500,-0.843117,-1280.372437,3
14.641796,3.062500,-0.965306,-1080.250610,3
14.626170,3.062500,-0.965306,-985.144226,3
14.594917,3.000000,-0.843117,-931.806946,3
14.594917,2.750000,-0.843117,-955.727966,3
14.563664,2.500000,-0.965306,-916.660034,3
14.563664,2.250000,-0.843117,-943.928406,3
14.548038,2.062500,-0.720928,-961.336548,3
14.532413,2.000000,-0.598739,-1091.558838,3
14.501160,1.875000,-0.598739,-1188.960449,3
14.501160,1.250000,-0.598739,-1259.307007,3
14.438655,0.750000,-0.476550,-1303.563232,3
14.423029,0.500000,-0.354361,-1569.303711,3
14.423029,0.062500,-0.232172,-2002.098145,3
14.391776,-0.250000,-0.232172,-2407.958740,3
14.407402,-0.312500,-0.109983,-3272.966553,3
14.376150,-0.500000,-0.109983,-4179.187988,3
14.344897,-0.625000,0.012206,-5030.321289,3
14.344897,-0.750000,0.012206,-8610.631836,3
14.313644,-0.750000,0.134395,-13122.168945,3
14.266767,-0.937500,0.134395,13079.193359,3
14.235514,-1.125000,0.256584,5958.176758,3
14.219888,-1.500000,0.256584,4447.828613,3
14.204261,-1.750000,0.378773,3150.791260,3
14.141756,-1.812500,0.378773,2661.695068,3
14.188635,-1.937500,0.378773,2441.668457,3
14.141756,-1.937500,0.378773,2311.817871,3
14.063624,-1.937500,0.378773,2242.557617,3
14.126130,-1.937500,0.378773,2199.445557,3
14.063624,-2.000000,0.378773,2165.537354,3
14.047998,-2.125000,0.623151,1720.843140,3
14.047998,-2.250000,0.623151,1524.385376,3
13.954241,-2.250000,0.623151,1419.246582,3
13.969868,-2.250000,0.745340,1267.014404,3
13.954241,-2.250000,0.623151,1271.274414,3
13.954241,-2.250000,0.623151,1274.285522,3
13.938615,-2.250000,0.500962,1379.118774,3
13.860483,-2.250000,0.500962,1451.704102,3
13.876110,-2.250000,0.500962,1496.754272,3
14.001120,-2.250000,0.500962,1543.623413,3
13.829231,-2.125000,0.378773,1698.082153,3
13.844857,-2.125000,0.500962,1845.128296,3
13.860483,-2.125000,0.378773,1924.103271,3
13.813605,-2.000000,0.623151,1784.351685,3
13.907362,-2.000000,0.623151,1553.210938,3
13.844857,-1.937500,0.623151,1430.511475,3
13.844857,-1.812500,0.623151,1366.775269,3
13.860483,-1.500000,0.378773,1442.805786,3
13.860483,-1.250000,0.378773,1635.164185,3
13.844857,-0.750000,0.378773,1781.085205,3
13.844857,0.000000,0.256584,2119.759521,3
13.829231,0.750000,0.012206,2790.941895,3
13.829231,1.250000,0.012206,4363.533203,3
13.813605,1.687500,-0.109983,11037.616211,3
13.829231,1.687500,-0.232172,-12678.079102,3
13.797978,1.750000,-0.476550,-3623.797607,3
13.782352,1.875000,-0.476550,-2505.159180,3
13.782352,1.750000,-0.476550,-1874.251587,3
13.782352,1.750000,-0.476550,-1785.117188,3
13.797978,1.687500,-0.476550,-1736.702881,3
13.797978,1.562500,-0.598739,-1552.671753,3
13.782352,1.500000,-0.476550,-1591.003540,3
13.751100,1.375000,-0.476550,-1610.345459,3
13.766726,1.375000,-0.476550,-1629.930908,3
13.751100,1.375000,-0.476550,-1636.298584,3
13.735474,1.375000,-0.354361,-1813.927856,3
13.751100,1.375000,-0.354361,-1950.004761,3
13.735474,1.375000,-0.476550,-2039.479004,3
13.735474,1.375000,-0.354361,-2105.429932,3
13.719848,1.375000,-0.354361,-2144.792725,3
13.719848,1.375000,-0.476550,-1928.089966,3
13.704221,1.250000,-0.354361,-2022.630737,3
13.704221,1.250000,-0.354361,-2092.383301,3
13.704221,1.250000,-0.354361,-2131.982910,3
13.704221,1.250000,-0.354361,-2165.745117,3
13.672969,1.250000,-0.354361,-2179.215820,3
13.688595,1.250000,-0.354361,-2193.424561,3
13.657342,1.187500,-0.354361,-2195.790283,3
13.657342,1.187500,-0.354361,-2200.437744,3
13.657342,1.187500,-0.476550,-1952.677246,3
13.641716,1.187500,-0.354361,-2038.413086,3
13.704221,1.187500,-0.232172,-2368.396484,3
13.563585,1.062500,-0.232172,-2661.207031,3
13.626090,1.062500,-0.354361,-2901.533936,3
13.579211,1.062500,-0.354361,-2583.560547,3
13.626090,1.062500,-0.354361,-2432.396240,3
13.579211,1.062500,-0.354361,-2333.828613,3
13.594837,1.062500,-0.354361,-2280.501953,3
13.579211,1.062500,-0.354361,-2248.219971,3
13.563585,1.062500,-0.354361,-2225.849121,3
13.563585,1.062500,-0.354361,-2213.588379,3
13.516706,1.062500,-0.232172,-2528.764893,3
13.516706,1.062500,-0.232172,-2773.187500,3
13.501080,1.062500,-0.232172,-2954.348389,3
13.469828,1.062500,-0.232172,-3076.282471,3
13.469828,1.062500,-0.232172,-3163.436035,3
13.485454,1.062500,-0.232172,-3224.766602,3
13.485454,1.062500,-0.354361,-3266.012939,3
13.454201,1.062500,-0.354361,-2750.967041,3
13.485454,1.062500,-0.476550,-2190.090332,3
13.438575,1.062500,-0.354361,-2178.941406,3
13.422949,1.062500,-0.354361,-2176.715820,3
13.407322,1.062500,-0.354361,-2170.256348,3
13.391696,1.062500,-0.354361,-2171.902588,3
13.391696,1.062500,-0.354361,-2166.290527,3
13.391696,1.062500,-0.354361,-2165.939697,3
13.376070,1.062500,-0.232172,-2477.170898,3
13.360444,1.062500,-0.354361,-2351.554199,3
13.360444,1.062500,-0.354361,-2275.875244,3
13.376070,1.062500,-0.232172,-2571.255615,3
13.376070,1.062500,-0.232172,-2798.654785,3
13.297938,1.000000,-0.232172,-2946.417236,3
13.329191,1.000000,-0.232172,-3068.284912,3
13.297938,1.000000,-0.354361,-2647.399414,3
13.266686,1.000000,-0.232172,-2844.156006,3
13.266686,1.000000,-0.232172,-2987.471191,3
13.251060,0.875000,-0.232172,-3082.445557,3
13.235434,0.875000,-0.354361,-2657.014160,3
13.219808,0.875000,-0.354361,-2437.495850,3
13.204181,0.875000,-0.232172,-2681.494873,3
13.204181,0.875000,-0.232172,-2866.328857,3
13.188555,0.750000,-0.232172,-2990.398438,3
13.172929,0.750000,-0.232172,-3080.117920,3
13.141676,0.750000,-0.232172,-3136.308350,3
13.141676,0.750000,-0.232172,-3171.844238,3
13.126050,0.750000,-0.232172,-3193.552979,3
13.126050,0.750000,-0.232172,-3210.011230,3
13.126050,0.750000,-0.232172,-3216.748535,3
13.079171,0.750000,-0.232172,-3215.823242,3
13.094797,0.750000,-0.354361,-2709.216553,3
13.063545,0.750000,-0.232172,-2870.392822,3
13.047918,0.750000,-0.232172,-2985.122314,3
13.032292,0.750000,-0.232172,-3062.129150,3
13.016666,0.750000,-0.354361,-2634.819824,3
13.016666,0.750000,-0.232172,-2812.720459,3
13.001040,0.750000,-0.232172,-2941.075439,3
12.985414,0.750000,-0.232172,-3028.339111,3
12.954161,0.687500,-0.354361,-2609.824707,3
12.969788,0.687500,-0.232172,-2795.312744,3
12.922909,0.687500,-0.232172,-2917.704590,3
12.922909,0.687500,-0.232172,-3009.552979,3
12.922909,0.687500,-0.232172,-3071.585205,3
12.907283,0.687500,-0.232172,-3108.945801,3
12.876030,0.687500,-0.232172,-3128.253906,3
12.860404,0.687500,-0.232172,-3141.909180,3
12.797898,0.687500,-0.109983,-3855.434814,3
12.782272,0.375000,0.134395,-9797.045898,3
12.641636,0.375000,-0.232172,-8326.409180,3
12.969788,0.375000,0.012206,-11890.175781,3
12.672889,0.375000,-0.232172,-5928.912109,3
12.813525,0.375000,-0.109983,-6220.710938,3
12.844777,0.375000,-0.232172,-6335.870117,3
12.704141,0.375000,-0.109983,-6422.762695,3
12.719768,0.375000,-0.109983,-4697.687500,3
12.704141,0.375000,-0.232172,-3985.008545,3
12.704141,0.375000,-0.232172,-3636.059326,3
12.672889,0.375000,-0.232172,-3433.270996,3
12.672889,0.375000,-0.232172,-3318.603271,3
12.657263,0.375000,-0.109983,-4020.687012,3
12.657263,0.375000,-0.109983,-4663.375488,3
12.657263,0.375000,-0.109983,-5201.158691,3
12.626010,0.375000,-0.109983,-5613.077148,3
12.626010,0.375000,0.012206,-9128.516602,3
12.610384,0.250000,-0.232172,-8021.612793,3
12.579131,0.250000,-0.232172,-5147.001953,3
12.579131,0.187500,-0.109983,-5567.026367,3
12.594757,0.187500,-0.109983,-5885.655273,3
12.594757,0.062500,-0.109983,-6075.877930,3
12.610384,0.000000,-0.109983,-6266.914551,3
12.532252,-0.125000,-0.109983,-6330.357910,3
12.563505,-0.312500,-0.109983,-10331.355469,3
12.594757,-0.437500,0.012206,-8603.889648,3
12.532252,-0.500000,0.012206,-11489.061523,3
12.532252,-0.750000,0.012206,-11517.712891,3
12.563505,-0.937500,0.012206,-11517.712891,3
12.532252,-1.000000,0.134395,11489.061523,3
12.547878,-1.125000,0.134395,8194.956055,3
12.547878,-1.125000,0.256584,4895.490234,3
12.532252,-1.125000,0.256584,3871.928955,3
12.532252,-1.125000,0.256584,3412.931152,3
12.532252,-1.125000,0.256584,3168.989258,3
12.532252,-1.125000,0.256584,3021.117188,3
12.532252,-1.000000,0.256584,2943.794922,3
12.547878,-1.000000,0.256584,2894.741699,3
12.532252,-1.000000,0.134395,3445.547119,3
12.547878,-0.937500,0.134395,3941.023193,3
12.547878,-0.937500,0.134395,4342.290039,3
12.516626,-0.937500,0.256584,3632.043457,3
12.500999,-0.937500,0.256584,3283.371094,3
12.516626,-0.937500,0.256584,3096.373291,3
12.563505,-0.937500,0.256584,2994.576172,3
12.547878,-0.937500,0.256584,2488.146484,3
12.500999,-0.937500,0.256584,2580.016357,3
12.547878,-0.937500,0.256584,2660.453613,3
12.516626,-0.937500,0.134395,3221.077881,3
12.547878,-0.937500,0.256584,3065.161621,3
12.532252,-0.937500,0.256584,2963.760254,3
12.563505,-0.937500,0.134395,2910.793213,3
12.579131,-0.937500,-0.109983,5922.876465,3
12.500999,-0.937500,0.012206,8591.707031,3
12.547878,-0.937500,0.378773,3846.720703,3
12.454122,-0.937500,0.134395,2817.626221,3
12.563505,-0.937500,-0.109983,5700.411621,3
12.532252,-0.937500,0.378773,4141.688477,3
12.516626,-0.812500,0.378773,2936.705811,3
12.532252,-0.750000,0.256584,2461.531494,3
12.438495,-0.500000,0.134395,3012.106201,3
12.516626,0.187500,0.134395,3571.553711,3
12.454122,1.000000,0.134395,4017.510742,3
12.532252,1.562500,0.134395,4419.865234,3
12.532252,2.187500,-0.232172,10674.459961,3
12.579131,2.687500,-0.598739,-5810.062500,3
12.626010,2.750000,-0.598739,-2481.874512,3
12.547878,2.687500,-0.720928,-1625.861084,3
12.594757,2.687500,-0.720928,-1335.678955,3
12.547878,2.687500,-0.598739,-1280.473999,3
12.516626,2.562500,-0.598739,-1249.254272,3
12.500999,2.500000,-0.476550,-1229.213379,3
12.547878,2.500000,-0.476550,-1318.101196,3
12.547878,2.500000,-0.476550,-1379.248291,3
12.532252,2.375000,-0.598739,-1418.445679,3
12.516626,2.375000,-0.720928,-1234.291626,3
12.500999,2.375000,-0.598739,-1219.744873,3
12.500999,2.375000,-0.476550,-1309.329102,3
